iter	Passed	Remaining
354	427	777
355	428	775
356	429	774
357	430	772
358	431	770
359	432	768
360	433	766
361	433	764
362	434	762
363	435	761
364	436	759
365	437	757
366	438	755
367	439	754
368	440	752
369	440	750
370	441	749
371	442	747
372	443	745
373	444	743
374	445	742
375	446	740
376	447	738
377	447	737
378	448	735
379	449	733
380	450	732
381	451	730
382	452	728
383	453	727
384	454	725
385	455	724
386	456	722
387	457	721
388	458	719
389	459	718
390	460	717
391	461	715
392	462	713
393	462	712
394	463	710
395	464	708
396	465	707
397	466	705
398	467	703
399	468	702
400	469	701
401	470	699
402	471	697
403	472	696
404	473	694
405	473	693
406	474	691
407	475	690
408	476	688
409	477	687
410	478	686
411	479	684
412	481	684
413	482	683
414	484	682
415	484	680
416	485	679
417	486	677
418	487	676
419	488	675
420	489	673
421	490	672
422	491	670
423	492	669
424	493	667
425	494	666
426	495	665
427	497	664
428	498	663
429	499	662
430	500	661
431	501	659
432	503	658
433	504	657
434	505	656
435	506	655
436	508	654
437	509	653
438	510	652
439	513	653
440	514	652
441	516	651
442	517	650
443	518	649
444	519	648
445	521	647
446	522	646
447	523	645
448	524	644
449	526	643
450	528	643
451	529	642
452	530	640
453	531	639
454	533	638
455	534	637
456	535	636
457	536	635
458	537	633
459	538	632
460	539	631
461	541	630
462	542	629
463	543	627
464	544	626
465	545	625
466	546	624
467	548	623
468	549	621
469	550	620
470	551	619
471	552	618
472	553	617
473	555	615
474	556	614
475	557	613
476	558	612
477	559	611
478	560	609
479	561	608
480	563	607
481	564	606
482	565	605
483	566	604
484	567	603
485	569	601
486	570	600
487	571	599
488	572	598
489	573	597
490	574	595
491	576	594
492	577	593
493	578	592
494	579	590
495	580	589
496	581	588
497	582	587
498	583	585
499	584	584
500	585	583
501	586	582
502	588	581
503	589	580
504	590	578
505	591	577
506	592	576
507	593	574
508	594	573
509	595	572
510	596	571
511	597	569
512	599	568
513	600	567
514	601	566
515	602	565
516	603	564
517	605	563
518	606	561
519	607	560
520	608	559
521	609	558
522	610	556
523	611	555
524	612	554
525	614	553
526	615	552
527	616	551
528	617	549
529	618	548
530	619	547
531	620	546
532	621	544
533	622	543
534	623	542
535	624	540
536	625	539
537	627	538
538	628	537
539	629	536
540	630	534
541	631	533
542	632	532
543	633	531
544	635	530
545	636	529
546	637	527
547	638	526
548	639	525
549	641	524
550	642	523
551	643	522
552	644	520
553	645	519
554	646	518
555	647	517
556	648	516
557	649	514
558	651	513
559	652	512
560	653	511
561	654	510
562	655	509
563	657	507
564	658	506
565	659	505
566	660	504
567	661	503
568	662	502
569	663	500
570	664	499
571	665	498
572	666	497
573	668	495
574	669	494
575	670	493
576	671	492
577	672	491
578	674	490
579	675	489
580	676	487
581	677	486
582	678	485
583	680	484
584	681	483
585	682	481
586	683	480
587	684	479
588	685	478
589	686	477
590	688	476
591	689	474
592	690	473
593	691	472
594	692	471
595	694	470
596	695	469
597	696	468
598	697	466
599	698	465
600	699	464
601	700	463
602	701	461
603	702	460
604	703	459
605	704	457
606	705	456
607	706	455
608	707	454
609	708	452
610	709	451
611	710	450
612	711	449
613	712	447
614	713	446
615	714	445
616	715	444
617	716	443
618	717	441
619	719	440
620	720	439
621	721	438
622	722	437
623	723	436
624	724	434
625	725	433
626	727	432
627	728	431
628	729	430
629	730	429
630	731	427
631	732	426
632	733	425
633	734	424
634	735	422
635	736	421
636	737	420
637	738	419
638	739	417
639	740	416
640	742	415
641	743	414
642	744	413
643	745	412
644	746	410
645	747	409
646	748	408
647	749	407
648	750	405
649	751	404
650	752	403
651	753	402
652	754	400
653	755	399
654	756	398
655	758	397
656	759	396
657	760	395
658	761	393
659	762	392
660	763	391
661	764	390
662	765	388
663	766	387
664	767	386
665	768	385
666	769	384
667	770	382
668	771	381
669	772	380
670	773	379
671	774	378
672	775	376
673	776	375
674	777	374
675	778	373
676	779	371
677	780	370
678	781	369
679	782	368
680	783	367
681	784	365
682	785	364
683	786	363
684	787	362
685	788	361
686	789	359
687	790	358
688	791	357
689	792	356
690	793	354
691	794	353
692	795	352
693	797	351
694	798	350
695	799	349
696	800	347
697	801	346
698	802	345
699	803	344
700	804	343
701	805	341
702	806	340
703	807	339
704	808	338
705	809	337
706	810	335
707	811	334
708	812	333
709	814	332
710	814	331
711	815	330
712	816	328
713	817	327
714	818	326
715	819	325
716	820	323
717	821	322
718	822	321
719	823	320
720	824	319
721	825	317
722	826	316
723	827	315
724	828	314
725	829	313
726	830	311
727	831	310
728	832	309
729	833	308
730	834	306
731	834	305
732	835	304
733	837	303
734	837	302
735	839	300
736	839	299
737	840	298
738	842	297
739	843	296
740	844	295
741	845	294
742	846	292
743	847	291
744	848	290
745	849	289
746	850	288
747	851	286
748	852	285
749	853	284
750	854	283
751	855	282
752	856	280
753	857	279
754	858	278
755	859	277
756	860	276
757	861	274
758	861	273
759	862	272
760	863	271
761	864	270
762	865	268
763	866	267
764	867	266
765	868	265
766	869	264
767	870	262
768	871	261
769	872	260
770	873	259
771	874	258
772	874	256
773	875	255
774	876	254
775	877	253
776	878	252
777	879	251
778	880	249
779	881	248
780	882	247
781	883	246
782	884	245
783	885	244
784	886	242
785	887	241
786	888	240
787	889	239
788	890	238
789	891	237
790	892	235
791	893	234
792	894	233
793	895	232
794	896	231
795	897	230
796	899	228
797	900	227
798	901	226
799	902	225
800	903	224
801	904	223
802	905	222
803	906	221
804	907	219
805	908	218
806	909	217
807	910	216
808	911	215
809	912	214
810	915	213
811	916	212
812	917	210
813	918	209
814	919	208
815	921	207
816	922	206
817	923	205
818	924	204
819	925	203
820	926	202
821	928	200
822	930	200
823	931	198
824	932	197
825	933	196
826	935	195
827	936	194
828	937	193
829	938	192
830	939	191
831	940	189
832	941	188
833	943	187
834	944	186
835	945	185
836	946	184
837	947	183
838	948	181
839	949	180
840	950	179
841	951	178
842	952	177
843	953	176
844	955	175
845	956	174
846	958	173
847	961	172
848	962	171
849	963	170
850	964	168
851	965	167
852	967	166
853	968	165
854	969	164
855	971	163
856	972	162
857	973	161
858	974	159
859	975	158
860	976	157
861	977	156
862	978	155
863	979	154
864	980	153
865	981	151
866	982	150
867	983	149
868	985	148
869	986	147
870	987	146
871	988	145
872	989	143
873	990	142
874	991	141
875	992	140
876	993	139
877	994	138
878	995	136
879	995	135
880	996	134
881	997	133
882	998	132
883	999	131
884	1000	130
885	1001	128
886	1002	127
887	1003	126
888	1004	125
889	1005	124
890	1006	123
891	1007	122
892	1008	120
893	1009	119
894	1010	118
895	1011	117
896	1012	116
897	1013	115
898	1014	114
899	1015	112
900	1016	111
901	1017	110
902	1018	109
903	1019	108
904	1020	107
905	1021	106
906	1022	104
907	1023	103
908	1024	102
909	1025	101
910	1026	100
911	1027	99
912	1029	98
913	1030	96
914	1031	95
915	1032	94
916	1032	93
917	1033	92
918	1034	91
919	1035	90
920	1036	88
921	1037	87
922	1038	86
923	1039	85
924	1040	84
925	1041	83
926	1043	82
927	1043	80
928	1044	79
929	1045	78
930	1046	77
931	1047	76
932	1048	75
933	1049	74
934	1050	73
935	1051	71
936	1052	70
937	1053	69
938	1054	68
939	1056	67
940	1057	66
941	1058	65
942	1059	64
943	1060	62
944	1061	61
945	1062	60
946	1063	59
947	1064	58
948	1065	57
949	1066	56
950	1067	54
951	1068	53
952	1069	52
953	1070	51
954	1071	50
955	1072	49
956	1073	48
957	1074	47
958	1075	45
959	1075	44
960	1077	43
961	1078	42
962	1079	41
963	1079	40
964	1080	39
965	1081	38
966	1082	36
967	1083	35
968	1084	34
969	1085	33
970	1086	32
971	1087	31
972	1088	30
973	1089	29
974	1090	27
975	1091	26
976	1092	25
977	1093	24
978	1094	23
979	1095	22
980	1096	21
981	1097	20
982	1098	18
983	1098	17
984	1099	16
985	1101	15
986	1102	14
987	1103	13
988	1104	12
989	1105	11
990	1106	10
991	1107	8
992	1108	7
993	1109	6
994	1110	5
995	1111	4
996	1112	3
997	1113	2
998	1114	1
999	1116	0
